"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.537633593E0,-4.968566895E0,-1.436462402E-1,8.465896606E0,9.817265229E0
1.542638475E0,-5.298370361E0,-5.476684570E-1,8.278549194E0,9.844137646E0
1.547643358E0,-5.429443359E0,-5.458831787E-1,7.204147339E0,9.037509752E0
1.552648241E0,-5.185241699E0,-3.465576172E-1,9.141067505E0,1.051503442E1
1.557622606E0,-5.708969116E0,-8.289947510E-1,7.454345703E0,9.425859671E0
1.562627489E0,-5.671859741E0,-5.698242188E-1,7.578247070E0,9.482854065E0
1.567632372E0,-5.488708496E0,-4.920043945E-1,8.902832031E0,1.047035852E1
1.572637255E0,-5.745483398E0,-5.003814697E-1,7.106582642E0,9.152293589E0
1.577611620E0,-5.425857544E0,1.077423096E-1,8.500610352E0,1.008523251E1
1.582600471E0,-5.588073730E0,8.972167969E-3,8.344390869E0,1.004268428E1
1.587513801E0,-5.825088501E0,1.801605225E-1,6.950973511E0,9.070840457E0
1.592457649E0,-5.449203491E0,6.781616211E-1,9.193740845E0,1.070880911E1
1.597432014E0,-5.887344360E0,3.794860840E-1,7.888900757E0,9.850867396E0
1.602436897E0,-5.896316528E0,5.051727295E-1,7.553710938E0,9.595847905E0
1.607441779E0,-5.837066650E0,3.980407715E-1,8.711898804E0,1.049413952E1
1.612446662E0,-6.225524902E0,5.950927734E-4,6.455963135E0,8.968646535E0
1.617451545E0,-5.929244995E0,2.454071045E-1,7.802703857E0,9.802977014E0
1.622456428E0,-5.963363647E0,-6.404113770E-2,8.014587402E0,9.989965890E0
1.627461311E0,-6.210556030E0,-2.669525146E-1,6.487686157E0,8.985117780E0
1.632466193E0,-5.672454834E0,-6.404113770E-2,8.408432007E0,1.014310475E1
1.637471076E0,-5.965148926E0,-5.668334961E-1,7.156860352E0,9.334074781E0
1.642475959E0,-5.681442261E0,-4.022216797E-1,6.818084717E0,8.884078323E0
1.647480842E0,-5.263046265E0,-2.124786377E-1,8.425201416E0,9.936237822E0
1.652485725E0,-5.560531616E0,-4.632720947E-1,6.248870850E0,8.377500808E0
1.657490608E0,-5.355834961E0,-5.386352539E-3,7.157470703E0,8.939484549E0
1.662495490E0,-5.423461914E0,-2.693176270E-2,7.552505493E0,9.298118287E0
1.667500373E0,-5.744888306E0,-8.020019531E-2,6.232711792E0,8.476843162E0
1.672505256E0,-5.313339233E0,3.525390625E-1,8.039733887E0,9.643297080E0
1.677510139E0,-5.788574219E0,2.752685547E-2,6.821075439E0,8.946251694E0
1.682515022E0,-5.692810059E0,2.669525146E-1,6.338043213E0,8.523505252E0
1.687519904E0,-5.686828613E0,4.076080322E-1,8.017578125E0,9.838075166E0
1.692524787E0,-6.184814453E0,-6.404113770E-2,6.332061768E0,8.851612131E0
1.697529670E0,-5.965148926E0,1.783752441E-1,7.033569336E0,9.224202786E0
1.702534553E0,-5.912475586E0,-7.481384277E-2,7.875122070E0,9.847868413E0
1.707539436E0,-6.073486328E0,-4.123992920E-1,6.180038452E0,8.674686428E0
